Rank,Product_name,Ratings,Num_ratings,Num_reviews,DP,MRP,Remarks,Link
rank,product name,stars,ratings,reviews,price,net price,remarks,link
24,"Redmi Note 7 Pro (Space Black, 64 GB)",4.5,379569,35751,13999,15999,,https://www.flipkart.com/redmi-note-7-pro-space-black-64-gb/p/itmfegkx2gufuzhp?pid=MOBFDXZ36Y4DJBGM&srno=b_1_24&otracker=browse&lid=LSTMOBFDXZ36Y4DJBGMQF27GZ&fm=organic&iid=e37eb159-a2ac-4516-88fe-417f63e6e15b.MOBFDXZ36Y4DJBGM.SEARCH&ssid=rb1r79nccw0000001566802202088
25,"Realme 3 (Radiant Blue, 32 GB)",4.5,295144,30092,8999,10999,,https://www.flipkart.com/realme-3-radiant-blue-32-gb/p/itmfe68wrbfnzqwz?pid=MOBFE68WHF6MZKG5&srno=b_2_25&otracker=browse&lid=LSTMOBFE68WHF6MZKG5VHDVB2&fm=organic&iid=e55f87c3-2eac-4a60-a260-34459a4a4665.MOBFE68WHF6MZKG5.SEARCH&ssid=gxv37om14w0000001566802205457
26,"Realme 3 Pro (Lightning Purple, 128 GB)",4.5,78895,9794,15999,19999,,https://www.flipkart.com/realme-3-pro-lightning-purple-128-gb/p/itmfgzr2jckcttnx?pid=MOBFFMG3ECHHYSPD&srno=b_2_26&otracker=browse&lid=LSTMOBFFMG3ECHHYSPDHTQHZQ&fm=organic&iid=93f31a73-843f-4b69-a11e-984f21190506.MOBFFMG3ECHHYSPD.SEARCH&ssid=gxv37om14w0000001566802205457
27,"Realme 3 Pro (Lightning Purple, 64 GB)",4.5,179780,23171,12999,15999,,https://www.flipkart.com/realme-3-pro-lightning-purple-64-gb/p/itmfgzr2jckcttnx?pid=MOBFFMG3H499XJZY&srno=b_2_27&otracker=browse&lid=LSTMOBFFMG3H499XJZYZUF0U4&fm=organic&iid=c91f8024-8d05-4005-9710-95ca25b2d8a6.MOBFFMG3H499XJZY.SEARCH&ssid=gxv37om14w0000001566802205457
28,"Realme 3 Pro (Lightning Purple, 64 GB)",4.5,78895,9794,14999,17999,,https://www.flipkart.com/realme-3-pro-lightning-purple-64-gb/p/itmfgzr2jckcttnx?pid=MOBFFMG3WNFW8MFB&srno=b_2_28&otracker=browse&lid=LSTMOBFFMG3WNFW8MFBHY87CM&fm=organic&iid=458b9bb4-22f3-47aa-984e-afb9fbb0c350.MOBFFMG3WNFW8MFB.SEARCH&ssid=gxv37om14w0000001566802205457
29,"Realme 3 Pro (Nitro Blue, 64 GB)",4.5,179780,23171,12999,15999,,https://www.flipkart.com/realme-3-pro-nitro-blue-64-gb/p/itmfgzr2jckcttnx?pid=MOBFFMG3QQMGHYMH&srno=b_2_29&otracker=browse&lid=LSTMOBFFMG3QQMGHYMHRUCLOC&fm=organic&iid=aa7131b5-2b1a-4f97-9c0e-ca885ff75ebd.MOBFFMG3QQMGHYMH.SEARCH&ssid=gxv37om14w0000001566802205457
30,"Realme 3 Pro (Nitro Blue, 64 GB)",4.5,78895,9794,14999,17999,,https://www.flipkart.com/realme-3-pro-nitro-blue-64-gb/p/itmfgzr2jckcttnx?pid=MOBFFMG3VTJMVWVR&srno=b_2_30&otracker=browse&lid=LSTMOBFFMG3VTJMVWVRFVTUKR&fm=organic&iid=be86f388-4682-484d-9196-5a2eaeef1498.MOBFFMG3VTJMVWVR.SEARCH&ssid=gxv37om14w0000001566802205457
31,"Redmi 6 (Black, 64 GB)",4.4,488057,36811,6999,10499,,https://www.flipkart.com/redmi-6-black-64-gb/p/itmfa94eqhsxwhyn?pid=MOBFA2NXDQFTXNHJ&srno=b_2_31&otracker=browse&lid=LSTMOBFA2NXDQFTXNHJCYZ13S&fm=organic&iid=0d0dce22-d789-4aa6-b17c-55fd09002031.MOBFA2NXDQFTXNHJ.SEARCH&ssid=gxv37om14w0000001566802205457
32,"Redmi Go (Black, 8 GB)",4.3,109388,9087,4499,5999,,https://www.flipkart.com/redmi-go-black-8-gb/p/itmfeauu7ys4tkhb?pid=MOBFDZQHCJFYXZHX&srno=b_2_32&otracker=browse&lid=LSTMOBFDZQHCJFYXZHXOMENTR&fm=organic&iid=e70390fc-59a7-4715-9048-0009c16e2c5c.MOBFDZQHCJFYXZHX.SEARCH&ssid=gxv37om14w0000001566802205457
33,"Honor 8C (Black, 64 GB)",4.3,13772,1218,9999,14999,,https://www.flipkart.com/honor-8c-black-64-gb/p/itmfc8c4fsekrpdp?pid=MOBFC8C8FXXNHZ7C&srno=b_2_33&otracker=browse&lid=LSTMOBFC8C8FXXNHZ7CZYQGKP&fm=organic&iid=93c1a59a-23c6-481f-b8bf-76e922b7d8a4.MOBFC8C8FXXNHZ7C.SEARCH&ssid=gxv37om14w0000001566802205457
