Location,Latitude,Longitude
Rapar,23.5699655,70.6271855
Kolar District,13.1789399,77.653308
Anantapurnantapur,37.2811053,127.0507571
Cortalim,15.4011619,73.8919464
Patran,37.2811053,127.0507571
Narsinghgarh,23.7114549,77.075529
Seloo Wardha District,20.8363019,78.6990434
Moga,37.2811053,127.0507571
Virudhunagar District,9.4928156,77.3179981
Kodavasal,10.8557768,79.4726507
Mandvi Kachchh District,22.8399868,69.3278
Gummidipoondi,13.4076835,80.0782177
Uthukuli,37.2811053,127.0507571
Sheohar,26.514282,85.2856637
Baldeo,37.2811053,127.0507571
Ezhome,12.0358168,75.2684166
Namagiripettai,11.4580486,78.2519887
Kokapur,22.7528948,88.4344253
Sivakasi,9.4541803,77.7576033
Palaganangudy,37.2811053,127.0507571
Tohana,29.7161939,75.8676363
Maduranthakam,12.5056313,79.8686741
Zirapur,24.0180862,76.367576
Ambala District,30.3067615,76.5998653
Delhi,28.6466773,76.813073
Chincholi Midc,37.2811053,127.0507571
Banda,37.2811053,127.0507571
Madambakkam,12.8323456,80.0644975
Khandwa East Nimar District,21.8302739,76.3173954
Bilandapur,22.23571,88.3673326
Ghoghla,20.730486,70.9852587
Proddatur,14.7501038,78.5110895
Manor,37.2811053,127.0507571
Narikombu,12.8782509,75.0427607
Kusmi,37.2811053,127.0507571
Kodamthuruth,9.7980605,76.2685462
Kankavli,16.2703535,73.6744432
Alandi,18.6768049,73.8759223
Bhatni Bazar,26.377549,83.9175353
Shivpur Charcha,37.2811053,127.0507571
Nanded Waghala,19.1385467,77.2410495
Kalamb Yavatmal District,20.4418134,78.3149672
Kharsia,21.9836698,83.0866207
Tadepalli,16.4777525,80.5699855
Laskarpara,26.4805539,89.8006479
Maniyat,12.176782,75.1581075
Zamin Uthukuli,10.6511669,76.9713937
Jirapur,24.0180862,76.367576
Jaswantnagar,26.8826108,78.8847969
Bishnupur Birbhum District,24.027584,87.5102404
Lunawada,23.1300096,73.5933604
Thikkanamcode,8.2205587,77.2680259
Srinagar,34.106639,74.6666703
Pusad Midc,37.2811053,127.0507571
Manpur,24.8022968,85.0083767
